Model,Dataset,Depth,Width,Test Accuracy %,Total Gates,Baseline PBS,Optimized PBS,PBS Saved,PBS Reduction %,Estimated Latency Reduction %
mnist_depth_01_width_02000,MNIST,1,2000,86.37999790906906,2000,1381,1381,0,0.0,0.0
mnist_depth_01_width_04000,MNIST,1,4000,79.549997985363,4000,2617,2617,0,0.0,0.0
mnist_depth_01_width_06000,MNIST,1,6000,85.64999777078629,6000,3912,3912,0,0.0,0.0
mnist_depth_01_width_08000,MNIST,1,8000,85.59999799728394,8000,5494,5494,0,0.0,0.0
mnist_depth_02_width_02000,MNIST,2,2000,89.91999804973602,4000,2668,2514,154,5.772113943028486,5.772113943028486
mnist_depth_02_width_04000,MNIST,2,4000,91.54999768733978,8000,5218,4926,292,5.596013798390188,5.596013798390188
mnist_depth_02_width_06000,MNIST,2,6000,92.33999794721603,12000,8167,7760,407,4.983470062446431,4.983470062446431
mnist_depth_02_width_08000,MNIST,2,8000,92.39999777078629,16000,10467,9972,495,4.729148753224419,4.729148753224419
mnist_depth_03_width_02000,MNIST,3,2000,93.05999779701231,6000,3814,3564,250,6.554798112218144,6.554798112218144
mnist_depth_03_width_04000,MNIST,3,4000,92.28999775648116,12000,7363,6822,541,7.347548553578704,7.347548553578704
mnist_depth_03_width_06000,MNIST,3,6000,94.9599979519844,18000,11872,11264,608,5.121293800539084,5.121293800539084
mnist_depth_03_width_08000,MNIST,3,8000,95.92999798059464,24000,16202,15512,690,4.258733489692631,4.258733489692631
mnist_depth_04_width_02000,MNIST,4,2000,94.18999791145325,8000,5124,4857,267,5.210772833723653,5.210772833723653
mnist_depth_04_width_04000,MNIST,4,4000,94.1699977517128,16000,10231,9633,598,5.844980940279543,5.844980940279543
mnist_depth_04_width_06000,MNIST,4,6000,95.86999797821044,24000,15258,14505,753,4.935116004718836,4.935116004718836
mnist_depth_04_width_08000,MNIST,4,8000,96.72999781370164,32000,20721,19786,935,4.512330485980407,4.512330485980407
mnist_depth_05_width_02000,MNIST,5,2000,94.9499980211258,10000,6030,5570,460,7.628524046434494,7.628524046434494
mnist_depth_05_width_04000,MNIST,5,4000,94.85999792814256,20000,12005,11155,850,7.080383173677634,7.080383173677634
mnist_depth_05_width_06000,MNIST,5,6000,96.25999748706818,30000,18368,17197,1171,6.375217770034843,6.375217770034843
mnist_depth_05_width_08000,MNIST,5,8000,97.05999791622162,40000,24106,22446,1660,6.886252385298266,6.886252385298266
mnist_depth_06_width_02000,MNIST,6,2000,94.79999780654909,12000,7167,6514,653,9.111204130040464,9.111204130040464
mnist_depth_06_width_04000,MNIST,6,4000,95.6099974513054,24000,14515,13360,1155,7.957285566655185,7.957285566655185
mnist_depth_06_width_06000,MNIST,6,6000,96.68999767303468,36000,21649,19926,1723,7.958797173079588,7.958797173079588
mnist_depth_06_width_08000,MNIST,6,8000,97.19999784231186,48000,28428,25612,2816,9.905726748276347,9.905726748276347
fashionmnist_depth_01_width_02000,FashionMNIST,1,2000,76.0999983549118,2000,1389,1389,0,0.0,0.0
fashionmnist_depth_01_width_04000,FashionMNIST,1,4000,75.36999821662903,4000,2749,2749,0,0.0,0.0
fashionmnist_depth_01_width_06000,FashionMNIST,1,6000,79.92999809980392,6000,4345,4345,0,0.0,0.0
fashionmnist_depth_01_width_08000,FashionMNIST,1,8000,80.6199979186058,8000,5780,5780,0,0.0,0.0
fashionmnist_depth_02_width_02000,FashionMNIST,2,2000,78.23999786376953,4000,2579,2498,81,3.140752229546336,3.140752229546336
fashionmnist_depth_02_width_04000,FashionMNIST,2,4000,77.4899982213974,8000,5117,4880,237,4.631620089896424,4.631620089896424
fashionmnist_depth_02_width_06000,FashionMNIST,2,6000,79.99999785423279,12000,7769,7435,334,4.29913759814648,4.29913759814648
fashionmnist_depth_02_width_08000,FashionMNIST,2,8000,82.29999780654907,16000,11237,11057,180,1.6018510278544096,1.6018510278544096
fashionmnist_depth_03_width_02000,FashionMNIST,3,2000,78.17999821901321,6000,3688,3544,144,3.9045553145336234,3.9045553145336234
fashionmnist_depth_03_width_04000,FashionMNIST,3,4000,78.35999792814255,12000,8039,7880,159,1.9778579425301652,1.9778579425301652
fashionmnist_depth_03_width_06000,FashionMNIST,3,6000,81.45999813079834,18000,11801,11501,300,2.5421574442843826,2.5421574442843826
fashionmnist_depth_03_width_08000,FashionMNIST,3,8000,83.73999804258347,24000,16269,15991,278,1.708771282807794,1.708771282807794
fashionmnist_depth_04_width_02000,FashionMNIST,4,2000,77.75999772548676,8000,4382,4045,337,7.690552259242355,7.690552259242355
fashionmnist_depth_04_width_04000,FashionMNIST,4,4000,79.33999800682068,16000,9755,9352,403,4.131214761660687,4.131214761660687
fashionmnist_depth_04_width_06000,FashionMNIST,4,6000,81.26999765634537,24000,14648,14138,510,3.4817039868924087,3.4817039868924087
fashionmnist_depth_04_width_08000,FashionMNIST,4,8000,83.91999739408493,32000,20476,19956,520,2.5395585075210003,2.5395585075210003
fashionmnist_depth_05_width_02000,FashionMNIST,5,2000,79.33999812602997,10000,5845,5527,318,5.44054747647562,5.44054747647562
fashionmnist_depth_05_width_04000,FashionMNIST,5,4000,80.25999784469604,20000,11309,10633,676,5.977540012379521,5.977540012379521
fashionmnist_depth_05_width_06000,FashionMNIST,5,6000,81.4899976849556,30000,18722,18207,515,2.750774489904925,2.750774489904925
fashionmnist_depth_05_width_08000,FashionMNIST,5,8000,83.25999784469604,40000,24811,23970,841,3.389625569303938,3.389625569303938
fashionmnist_depth_06_width_02000,FashionMNIST,6,2000,77.8899981379509,12000,6367,5609,758,11.905135856761426,11.905135856761426
fashionmnist_depth_06_width_04000,FashionMNIST,6,4000,78.82999789714813,24000,14106,13347,759,5.380689068481497,5.380689068481497
fashionmnist_depth_06_width_06000,FashionMNIST,6,6000,81.93999773263931,36000,19769,17811,1958,9.904395771156862,9.904395771156862
fashionmnist_depth_06_width_08000,FashionMNIST,6,8000,83.50999760627747,48000,28064,25915,2149,7.657497149372862,7.657497149372862
uci_phishing_websites_depth_01_width_02000,UCI Phishing Websites,1,2000,92.42777739252362,2000,1262,1262,0,0.0,0.0
uci_phishing_websites_depth_01_width_04000,UCI Phishing Websites,1,4000,93.4815892151424,4000,2547,2547,0,0.0,0.0
uci_phishing_websites_depth_01_width_06000,UCI Phishing Websites,1,6000,93.30772161483765,6000,3733,3733,0,0.0,0.0
uci_phishing_websites_depth_01_width_08000,UCI Phishing Websites,1,8000,95.44762713568552,8000,5227,5227,0,0.0,0.0
uci_phishing_websites_depth_02_width_02000,UCI Phishing Websites,2,2000,93.93447382109504,4000,2495,2274,221,8.857715430861724,8.857715430861724
uci_phishing_websites_depth_02_width_04000,UCI Phishing Websites,2,4000,92.39549466541835,8000,5156,4744,412,7.990690457719162,7.990690457719162
uci_phishing_websites_depth_02_width_06000,UCI Phishing Websites,2,6000,94.84024473599024,12000,7655,6975,680,8.883082952318746,8.883082952318746
uci_phishing_websites_depth_02_width_08000,UCI Phishing Websites,2,8000,95.3424768788474,16000,10360,9523,837,8.079150579150578,8.079150579150578
uci_phishing_websites_depth_03_width_02000,UCI Phishing Websites,3,2000,93.9538436276572,6000,3604,3100,504,13.984461709211988,13.984461709211988
