Boolean vs EI_DDLGN comparison: FashionMNIST
Positive speedup means EI_DDLGN is faster than Boolean.
depth   width samples   bool_acc     ei_acc      match    bool_eval      ei_eval      eval_%       e2e_%
    1    2000       5     0.8000     0.8000     1.0000     1.957044     1.870005      +4.65%      +4.47%
    1    4000       5     0.6000     0.6000     1.0000     3.696849     3.639353      +1.58%      +1.52%
    1    6000       5     0.8000     0.8000     1.0000     5.813852     5.761911      +0.90%      +0.88%
    1    8000       5     0.8000     0.8000     1.0000     7.732730     7.692679      +0.52%      +0.49%
    2    2000       5     0.6000     0.6000     1.0000     3.358158     3.323879      +1.03%      +0.97%
    2    4000       5     0.8000     0.8000     1.0000     6.566161     6.474012      +1.42%      +1.39%
    2    6000       5     1.0000     1.0000     1.0000     9.910209     9.880074      +0.31%      +0.29%
    2    8000       5     0.8000     0.8000     1.0000    14.718654    14.728636      -0.07%      -0.09%
    3    2000       5     1.0000     1.0000     1.0000     4.773720     4.709447      +1.36%      +1.34%
    3    4000       5     0.8000     0.8000     1.0000    10.526110    10.489478      +0.35%      +0.32%
    3    6000       5     1.0000     1.0000     1.0000    15.354701    15.305396      +0.32%      +0.31%
    3    8000       5     1.0000     1.0000     1.0000    21.314834    21.271044      +0.21%      +0.20%
    4    2000       5     1.0000     1.0000     1.0000     5.505843     5.430179      +1.39%      +1.36%
    4    4000       5     0.8000     0.8000     1.0000    12.510630    12.490552      +0.16%      +0.15%
    4    6000       5     1.0000     1.0000     1.0000    18.917634    18.824796      +0.49%      +0.48%
    4    8000       5     1.0000     1.0000     1.0000    26.666469    26.689364      -0.09%      -0.09%
    5    2000       5     0.8000     0.8000     1.0000     7.447428     7.385405      +0.84%      +0.81%
    5    4000       5     1.0000     1.0000     1.0000    14.264022    14.186044      +0.55%      +0.54%
    5    6000       5     1.0000     1.0000     1.0000    24.299940    24.300284      -0.00%      -0.01%
    5    8000       5     1.0000     1.0000     1.0000    31.979977    31.930750      +0.15%      +0.14%
    6    2000       5     0.6000     0.6000     1.0000     7.544164     7.512983      +0.42%      +0.39%
    6    4000       5     0.8000     0.8000     1.0000    17.872099    17.825098      +0.26%      +0.24%
    6    6000       5     0.8000     0.8000     1.0000    25.200884    25.819290      -2.40%      -2.40%
    6    8000       5     1.0000     1.0000     1.0000    34.537882    34.507715      +0.09%      +0.08%

Mean EI_DDLGN eval speedup across models: +0.60%
