Boolean vs EI_DDLGN comparison: MNIST
Positive speedup means EI_DDLGN is faster than Boolean.
depth   width samples   bool_acc     ei_acc      match    bool_eval      ei_eval      eval_%       e2e_%
    1    2000       5     1.0000     1.0000     1.0000     1.703508     1.527889     +11.49%     +11.20%
    1    4000       5     1.0000     1.0000     1.0000     3.550628     3.466717      +2.42%      +2.33%
    1    6000       5     1.0000     1.0000     1.0000     5.281479     5.175091      +2.06%      +2.03%
    1    8000       5     1.0000     1.0000     1.0000     7.366760     7.310586      +0.77%      +0.74%
    2    2000       5     1.0000     1.0000     1.0000     3.424031     3.360673      +1.89%      +1.83%
    2    4000       5     1.0000     1.0000     1.0000     6.621574     6.578242      +0.66%      +0.59%
    2    6000       5     1.0000     1.0000     1.0000    10.382732    10.400819      -0.17%      -0.21%
    2    8000       5     1.0000     1.0000     1.0000    13.339955    13.278106      +0.47%      +0.44%
    3    2000       5     1.0000     1.0000     1.0000     4.795650     4.748373      +1.00%      +0.95%
    3    4000       5     1.0000     1.0000     1.0000     9.140234     9.073716      +0.73%      +0.71%
    3    6000       5     1.0000     1.0000     1.0000    15.073426    15.036495      +0.25%      +0.23%
    3    8000       5     1.0000     1.0000     1.0000    20.715280    20.688791      +0.13%      +0.12%
    4    2000       5     1.0000     1.0000     1.0000     6.536684     6.468692      +1.05%      +1.03%
    4    4000       5     1.0000     1.0000     1.0000    12.885005    12.826598      +0.46%      +0.44%
    4    6000       5     1.0000     1.0000     1.0000    19.418051    19.328514      +0.46%      +0.45%
    4    8000       5     1.0000     1.0000     1.0000    26.382362    26.282708      +0.38%      +0.37%
    5    2000       5     1.0000     1.0000     1.0000     7.487568     7.434464      +0.71%      +0.69%
    5    4000       5     1.0000     1.0000     1.0000    14.957013    14.917000      +0.27%      +0.24%
    5    6000       5     1.0000     1.0000     1.0000    23.120811    23.001564      +0.52%      +0.51%
    5    8000       5     1.0000     1.0000     1.0000    30.037707    29.893953      +0.48%      +0.47%
    6    2000       5     1.0000     1.0000     1.0000     8.736506     8.671204      +0.75%      +0.73%
    6    4000       5     1.0000     1.0000     1.0000    17.883018    17.883491      -0.00%      -0.01%
    6    6000       5     1.0000     1.0000     1.0000    26.631780    26.567794      +0.24%      +0.23%
    6    8000       5     1.0000     1.0000     1.0000    34.263638    34.135864      +0.37%      +0.37%

Mean EI_DDLGN eval speedup across models: +1.14%
