Boolean vs EI_DDLGN comparison: UCI Phishing
Positive speedup means EI_DDLGN is faster than Boolean.
depth   width samples   bool_acc     ei_acc      match    bool_eval      ei_eval      eval_%       e2e_%
    1    2000       5     1.0000     1.0000     1.0000     1.799435     1.703639      +5.62%      +5.60%
    1    4000       5     1.0000     1.0000     1.0000     3.453346     3.400968      +1.54%      +1.53%
    1    6000       5     1.0000     1.0000     1.0000     5.019343     4.973219      +0.93%      +0.92%
    1    8000       5     1.0000     1.0000     1.0000     6.979714     6.969483      +0.15%      +0.15%
    2    2000       5     1.0000     1.0000     1.0000     3.089814     3.060906      +0.94%      +0.94%
    2    4000       5     1.0000     1.0000     1.0000     6.355493     6.331096      +0.39%      +0.38%
    2    6000       5     1.0000     1.0000     1.0000     9.773541    10.037826      -2.63%      -2.63%
    2    8000       5     1.0000     1.0000     1.0000    12.701411    12.645634      +0.44%      +0.44%
    3    2000       5     1.0000     1.0000     1.0000     4.205981     4.143081      +1.52%      +1.51%
    3    4000       5     1.0000     1.0000     1.0000     8.263022     8.199370      +0.78%      +0.77%
    3    6000       5     1.0000     1.0000     1.0000    12.127503    12.111198      +0.13%      +0.13%
    3    8000       5     1.0000     1.0000     1.0000    16.867394    16.822491      +0.27%      +0.26%
    4    2000       5     1.0000     1.0000     1.0000     5.465386     5.434697      +0.56%      +0.56%
    4    4000       5     1.0000     1.0000     1.0000    10.237101    10.199962      +0.36%      +0.36%
    4    6000       5     1.0000     1.0000     1.0000    15.380782    15.352712      +0.18%      +0.18%
    4    8000       5     1.0000     1.0000     1.0000    21.323806    21.103600      +1.04%      +1.04%
    5    2000       5     1.0000     1.0000     1.0000     6.271890     6.182945      +1.44%      +1.43%
    5    4000       5     1.0000     1.0000     1.0000    12.594421    12.519832      +0.60%      +0.59%
    5    6000       5     1.0000     1.0000     1.0000    17.927322    17.875944      +0.29%      +0.29%
    5    8000       5     1.0000     1.0000     1.0000    24.021092    23.953134      +0.28%      +0.28%
    6    2000       5     1.0000     1.0000     1.0000     6.740625     6.640417      +1.51%      +1.50%
    6    4000       5     1.0000     1.0000     1.0000    13.181920    13.145078      +0.28%      +0.28%
    6    6000       5     1.0000     1.0000     1.0000    20.205945    20.147133      +0.29%      +0.29%
    6    8000       5     1.0000     1.0000     1.0000    26.794846    26.739332      +0.21%      +0.21%

Mean EI_DDLGN eval speedup across models: +0.71%
