Model,Dataset,Depth,Width,Test Accuracy %,Total Gates,Baseline PBS,Optimized PBS,PBS Saved,PBS Reduction %,Estimated Latency Reduction %,Executed PBS (k),dataset_name
mnist_depth_01_width_02000,MNIST,1,2000,86.37999790906906,2000,1381,1381,0,0.0,0.0,1.381,MNIST
mnist_depth_02_width_02000,MNIST,2,2000,89.91999804973602,4000,2668,2514,154,5.772113943028486,5.772113943028486,2.514,MNIST
mnist_depth_03_width_02000,MNIST,3,2000,93.05999779701231,6000,3814,3564,250,6.554798112218144,6.554798112218144,3.564,MNIST
mnist_depth_04_width_02000,MNIST,4,2000,94.18999791145325,8000,5124,4857,267,5.210772833723653,5.210772833723653,4.857,MNIST
mnist_depth_05_width_02000,MNIST,5,2000,94.9499980211258,10000,6030,5570,460,7.628524046434494,7.628524046434494,5.57,MNIST
mnist_depth_03_width_06000,MNIST,3,6000,94.9599979519844,18000,11872,11264,608,5.121293800539084,5.121293800539084,11.264,MNIST
mnist_depth_06_width_04000,MNIST,6,4000,95.6099974513054,24000,14515,13360,1155,7.957285566655185,7.957285566655185,13.36,MNIST
mnist_depth_04_width_06000,MNIST,4,6000,95.86999797821044,24000,15258,14505,753,4.935116004718836,4.935116004718836,14.505,MNIST
mnist_depth_03_width_08000,MNIST,3,8000,95.92999798059464,24000,16202,15512,690,4.258733489692631,4.258733489692631,15.512,MNIST
mnist_depth_05_width_06000,MNIST,5,6000,96.25999748706818,30000,18368,17197,1171,6.375217770034843,6.375217770034843,17.197,MNIST
mnist_depth_04_width_08000,MNIST,4,8000,96.72999781370164,32000,20721,19786,935,4.512330485980407,4.512330485980407,19.786,MNIST
mnist_depth_05_width_08000,MNIST,5,8000,97.05999791622162,40000,24106,22446,1660,6.886252385298266,6.886252385298266,22.446,MNIST
mnist_depth_06_width_08000,MNIST,6,8000,97.19999784231186,48000,28428,25612,2816,9.905726748276347,9.905726748276347,25.612,MNIST
fashionmnist_depth_01_width_02000,FashionMNIST,1,2000,76.0999983549118,2000,1389,1389,0,0.0,0.0,1.389,FashionMNIST
fashionmnist_depth_02_width_02000,FashionMNIST,2,2000,78.23999786376953,4000,2579,2498,81,3.140752229546336,3.140752229546336,2.498,FashionMNIST
fashionmnist_depth_01_width_06000,FashionMNIST,1,6000,79.92999809980392,6000,4345,4345,0,0.0,0.0,4.345,FashionMNIST
fashionmnist_depth_01_width_08000,FashionMNIST,1,8000,80.6199979186058,8000,5780,5780,0,0.0,0.0,5.78,FashionMNIST
fashionmnist_depth_02_width_08000,FashionMNIST,2,8000,82.29999780654907,16000,11237,11057,180,1.6018510278544096,1.6018510278544096,11.057,FashionMNIST
fashionmnist_depth_03_width_08000,FashionMNIST,3,8000,83.73999804258347,24000,16269,15991,278,1.708771282807794,1.708771282807794,15.991,FashionMNIST
fashionmnist_depth_04_width_08000,FashionMNIST,4,8000,83.91999739408493,32000,20476,19956,520,2.5395585075210003,2.5395585075210003,19.956,FashionMNIST
uci_phishing_websites_depth_01_width_02000,UCI Phishing Websites,1,2000,92.42777739252362,2000,1262,1262,0,0.0,0.0,1.262,UCI Phishing Websites
uci_phishing_websites_depth_02_width_02000,UCI Phishing Websites,2,2000,93.93447382109504,4000,2495,2274,221,8.857715430861724,8.857715430861724,2.274,UCI Phishing Websites
uci_phishing_websites_depth_03_width_02000,UCI Phishing Websites,3,2000,93.9538436276572,6000,3604,3100,504,13.984461709211988,13.984461709211988,3.1,UCI Phishing Websites
uci_phishing_websites_depth_04_width_02000,UCI Phishing Websites,4,2000,95.39828045027596,8000,4677,4040,637,13.61984177891811,13.61984177891811,4.04,UCI Phishing Websites
uci_phishing_websites_depth_01_width_08000,UCI Phishing Websites,1,8000,95.44762713568552,8000,5227,5227,0,0.0,0.0,5.227,UCI Phishing Websites
uci_phishing_websites_depth_04_width_08000,UCI Phishing Websites,4,8000,95.50988759313312,32000,18608,15879,2729,14.66573516766982,14.66573516766982,15.879,UCI Phishing Websites
uci_phishing_websites_depth_05_width_08000,UCI Phishing Websites,5,8000,95.62795077051436,40000,22399,17904,4495,20.067860172329123,20.067860172329123,17.904,UCI Phishing Websites
