Dataset,Optimized PBS,Optimized PBS (k),Best accuracy under budget (%)
MNIST,1381,1.381,86.37999790906906
MNIST,2514,2.514,89.91999804973602
MNIST,2617,2.617,89.91999804973602
MNIST,3564,3.564,93.05999779701231
MNIST,3912,3.912,93.05999779701231
MNIST,4857,4.857,94.18999791145325
MNIST,4926,4.926,94.18999791145325
MNIST,5494,5.494,94.18999791145325
MNIST,5570,5.57,94.9499980211258
MNIST,6514,6.514,94.9499980211258
MNIST,6822,6.822,94.9499980211258
MNIST,7760,7.76,94.9499980211258
MNIST,9633,9.633,94.9499980211258
MNIST,9972,9.972,94.9499980211258
MNIST,11155,11.155,94.9499980211258
MNIST,11264,11.264,94.9599979519844
MNIST,13360,13.36,95.6099974513054
MNIST,14505,14.505,95.86999797821044
MNIST,15512,15.512,95.92999798059464
MNIST,17197,17.197,96.25999748706818
MNIST,19786,19.786,96.72999781370164
MNIST,19926,19.926,96.72999781370164
MNIST,22446,22.446,97.05999791622162
MNIST,25612,25.612,97.19999784231186
FashionMNIST,1389,1.389,76.0999983549118
FashionMNIST,2498,2.498,78.23999786376953
FashionMNIST,2749,2.749,78.23999786376953
FashionMNIST,3544,3.544,78.23999786376953
FashionMNIST,4045,4.045,78.23999786376953
FashionMNIST,4345,4.345,79.92999809980392
FashionMNIST,4880,4.88,79.92999809980392
FashionMNIST,5527,5.527,79.92999809980392
FashionMNIST,5609,5.609,79.92999809980392
FashionMNIST,5780,5.78,80.6199979186058
FashionMNIST,7435,7.435,80.6199979186058
FashionMNIST,7880,7.88,80.6199979186058
FashionMNIST,9352,9.352,80.6199979186058
FashionMNIST,10633,10.633,80.6199979186058
FashionMNIST,11057,11.057,82.29999780654907
FashionMNIST,11501,11.501,82.29999780654907
FashionMNIST,13347,13.347,82.29999780654907
FashionMNIST,14138,14.138,82.29999780654907
FashionMNIST,15991,15.991,83.73999804258347
FashionMNIST,17811,17.811,83.73999804258347
FashionMNIST,18207,18.207,83.73999804258347
FashionMNIST,19956,19.956,83.91999739408493
FashionMNIST,23970,23.97,83.91999739408493
FashionMNIST,25915,25.915,83.91999739408493
UCI Phishing Websites,1262,1.262,92.42777739252362
UCI Phishing Websites,2274,2.274,93.93447382109504
UCI Phishing Websites,2547,2.547,93.93447382109504
UCI Phishing Websites,3100,3.1,93.9538436276572
UCI Phishing Websites,3733,3.733,93.9538436276572
UCI Phishing Websites,4040,4.04,95.39828045027596
UCI Phishing Websites,4617,4.617,95.39828045027596
UCI Phishing Websites,4744,4.744,95.39828045027596
UCI Phishing Websites,4955,4.955,95.39828045027596
UCI Phishing Websites,5227,5.227,95.44762713568552
UCI Phishing Websites,6127,6.127,95.44762713568552
UCI Phishing Websites,6975,6.975,95.44762713568552
UCI Phishing Websites,7648,7.648,95.44762713568552
UCI Phishing Websites,9085,9.085,95.44762713568552
UCI Phishing Websites,9358,9.358,95.44762713568552
UCI Phishing Websites,9523,9.523,95.44762713568552
UCI Phishing Websites,9836,9.836,95.44762713568552
UCI Phishing Websites,11539,11.539,95.44762713568552
UCI Phishing Websites,12664,12.664,95.44762713568552
UCI Phishing Websites,13418,13.418,95.44762713568552
UCI Phishing Websites,15121,15.121,95.44762713568552
UCI Phishing Websites,15879,15.879,95.50988759313312
UCI Phishing Websites,17904,17.904,95.62795077051436
UCI Phishing Websites,20098,20.098,95.62795077051436
