dataset_name,depth,width,samples,boolean_accuracy,ei_accuracy,prediction_match_rate,boolean_avg_eval_seconds,ei_avg_eval_seconds,eval_speedup_percent,end_to_end_speedup_percent,source_file,width_k
FashionMNIST,1,2000,5,0.8,0.8,1.0,1.957,1.87,4.65,4.47,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,1,4000,5,0.6,0.6,1.0,3.6968,3.6394,1.58,1.52,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,1,6000,5,0.8,0.8,1.0,5.8139,5.7619,0.9,0.88,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,1,8000,5,0.8,0.8,1.0,7.7327,7.6927,0.52,0.49,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
FashionMNIST,2,2000,5,0.6,0.6,1.0,3.3582,3.3239,1.03,0.97,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,2,4000,5,0.8,0.8,1.0,6.5662,6.474,1.42,1.39,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,2,6000,5,1.0,1.0,1.0,9.9102,9.8801,0.31,0.29,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,2,8000,5,0.8,0.8,1.0,14.7187,14.7286,-0.07,-0.09,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
FashionMNIST,3,2000,5,1.0,1.0,1.0,4.7737,4.7094,1.36,1.34,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,3,4000,5,0.8,0.8,1.0,10.5261,10.4895,0.35,0.32,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,3,6000,5,1.0,1.0,1.0,15.3547,15.3054,0.32,0.31,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,3,8000,5,1.0,1.0,1.0,21.3148,21.271,0.21,0.2,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
FashionMNIST,4,2000,5,1.0,1.0,1.0,5.5058,5.4302,1.39,1.36,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,4,4000,5,0.8,0.8,1.0,12.5106,12.4906,0.16,0.15,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,4,6000,5,1.0,1.0,1.0,18.9176,18.8248,0.49,0.48,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,4,8000,5,1.0,1.0,1.0,26.6665,26.6894,-0.09,-0.09,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
FashionMNIST,5,2000,5,0.8,0.8,1.0,7.4474,7.3854,0.84,0.81,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,5,4000,5,1.0,1.0,1.0,14.264,14.186,0.55,0.54,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,5,6000,5,1.0,1.0,1.0,24.2999,24.3003,-0.0,-0.01,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,5,8000,5,1.0,1.0,1.0,31.98,31.9308,0.15,0.14,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
FashionMNIST,6,2000,5,0.6,0.6,1.0,7.5442,7.513,0.42,0.39,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,2.0
FashionMNIST,6,4000,5,0.8,0.8,1.0,17.8721,17.8251,0.26,0.24,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,4.0
FashionMNIST,6,6000,5,0.8,0.8,1.0,25.2009,25.8193,-2.4,-2.4,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,6.0
FashionMNIST,6,8000,5,1.0,1.0,1.0,34.5379,34.5077,0.09,0.08,artifacts/measurements/raw/fashion_mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,1,2000,5,1.0,1.0,1.0,1.7035,1.5279,11.49,11.2,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,1,4000,5,1.0,1.0,1.0,3.5506,3.4667,2.42,2.33,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,1,6000,5,1.0,1.0,1.0,5.2815,5.1751,2.06,2.03,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,1,8000,5,1.0,1.0,1.0,7.3668,7.3106,0.77,0.74,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,2,2000,5,1.0,1.0,1.0,3.424,3.3607,1.89,1.83,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,2,4000,5,1.0,1.0,1.0,6.6216,6.5782,0.66,0.59,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,2,6000,5,1.0,1.0,1.0,10.3827,10.4008,-0.17,-0.21,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,2,8000,5,1.0,1.0,1.0,13.34,13.2781,0.47,0.44,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,3,2000,5,1.0,1.0,1.0,4.7956,4.7484,1.0,0.95,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,3,4000,5,1.0,1.0,1.0,9.1402,9.0737,0.73,0.71,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,3,6000,5,1.0,1.0,1.0,15.0734,15.0365,0.25,0.23,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,3,8000,5,1.0,1.0,1.0,20.7153,20.6888,0.13,0.12,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,4,2000,5,1.0,1.0,1.0,6.5367,6.4687,1.05,1.03,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,4,4000,5,1.0,1.0,1.0,12.885,12.8266,0.46,0.44,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,4,6000,5,1.0,1.0,1.0,19.4181,19.3285,0.46,0.45,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,4,8000,5,1.0,1.0,1.0,26.3824,26.2827,0.38,0.37,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,5,2000,5,1.0,1.0,1.0,7.4876,7.4345,0.71,0.69,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,5,4000,5,1.0,1.0,1.0,14.957,14.917,0.27,0.24,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,5,6000,5,1.0,1.0,1.0,23.1208,23.0016,0.52,0.51,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,5,8000,5,1.0,1.0,1.0,30.0377,29.894,0.48,0.47,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
MNIST,6,2000,5,1.0,1.0,1.0,8.7365,8.6712,0.75,0.73,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,2.0
MNIST,6,4000,5,1.0,1.0,1.0,17.883,17.8835,-0.0,-0.01,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,4.0
MNIST,6,6000,5,1.0,1.0,1.0,26.6318,26.5678,0.24,0.23,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,6.0
MNIST,6,8000,5,1.0,1.0,1.0,34.2636,34.1359,0.37,0.37,artifacts/measurements/raw/mnist_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,1,2000,5,1.0,1.0,1.0,1.7994,1.7036,5.62,5.6,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,1,4000,5,1.0,1.0,1.0,3.4533,3.401,1.54,1.53,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,1,6000,5,1.0,1.0,1.0,5.0193,4.9732,0.93,0.92,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,1,8000,5,1.0,1.0,1.0,6.9797,6.9695,0.15,0.15,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,2,2000,5,1.0,1.0,1.0,3.0898,3.0609,0.94,0.94,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,2,4000,5,1.0,1.0,1.0,6.3555,6.3311,0.39,0.38,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,2,6000,5,1.0,1.0,1.0,9.7735,10.0378,-2.63,-2.63,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,2,8000,5,1.0,1.0,1.0,12.7014,12.6456,0.44,0.44,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,3,2000,5,1.0,1.0,1.0,4.206,4.1431,1.52,1.51,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,3,4000,5,1.0,1.0,1.0,8.263,8.1994,0.78,0.77,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,3,6000,5,1.0,1.0,1.0,12.1275,12.1112,0.13,0.13,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,3,8000,5,1.0,1.0,1.0,16.8674,16.8225,0.27,0.26,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,4,2000,5,1.0,1.0,1.0,5.4654,5.4347,0.56,0.56,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,4,4000,5,1.0,1.0,1.0,10.2371,10.2,0.36,0.36,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,4,6000,5,1.0,1.0,1.0,15.3808,15.3527,0.18,0.18,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,4,8000,5,1.0,1.0,1.0,21.3238,21.1036,1.04,1.04,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,5,2000,5,1.0,1.0,1.0,6.2719,6.1829,1.44,1.43,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,5,4000,5,1.0,1.0,1.0,12.5944,12.5198,0.6,0.59,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,5,6000,5,1.0,1.0,1.0,17.9273,17.8759,0.29,0.29,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,5,8000,5,1.0,1.0,1.0,24.0211,23.9531,0.28,0.28,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
UCI Phishing Websites,6,2000,5,1.0,1.0,1.0,6.7406,6.6404,1.51,1.5,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,2.0
UCI Phishing Websites,6,4000,5,1.0,1.0,1.0,13.1819,13.1451,0.28,0.28,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,4.0
UCI Phishing Websites,6,6000,5,1.0,1.0,1.0,20.2059,20.1471,0.29,0.29,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,6.0
UCI Phishing Websites,6,8000,5,1.0,1.0,1.0,26.7948,26.7393,0.21,0.21,artifacts/measurements/raw/uci_phishing_boolean_vs_ei_comparison.txt,8.0
