Model,Dataset,Depth,Width,Total Gates,Optimized PBS,PBS Gate Share After Reduction (%)
fashionmnist_depth_01_width_02000,FashionMNIST,1,2000,2000,1389,69.45
fashionmnist_depth_01_width_04000,FashionMNIST,1,4000,4000,2749,68.725
fashionmnist_depth_01_width_06000,FashionMNIST,1,6000,6000,4345,72.41666666666667
fashionmnist_depth_01_width_08000,FashionMNIST,1,8000,8000,5780,72.25
fashionmnist_depth_02_width_02000,FashionMNIST,2,2000,4000,2498,62.45
fashionmnist_depth_02_width_04000,FashionMNIST,2,4000,8000,4880,61.0
fashionmnist_depth_02_width_06000,FashionMNIST,2,6000,12000,7435,61.958333333333336
fashionmnist_depth_02_width_08000,FashionMNIST,2,8000,16000,11057,69.10625
fashionmnist_depth_03_width_02000,FashionMNIST,3,2000,6000,3544,59.06666666666667
fashionmnist_depth_03_width_04000,FashionMNIST,3,4000,12000,7880,65.66666666666667
fashionmnist_depth_03_width_06000,FashionMNIST,3,6000,18000,11501,63.894444444444446
fashionmnist_depth_03_width_08000,FashionMNIST,3,8000,24000,15991,66.62916666666666
fashionmnist_depth_04_width_02000,FashionMNIST,4,2000,8000,4045,50.5625
fashionmnist_depth_04_width_04000,FashionMNIST,4,4000,16000,9352,58.45
fashionmnist_depth_04_width_06000,FashionMNIST,4,6000,24000,14138,58.90833333333333
fashionmnist_depth_04_width_08000,FashionMNIST,4,8000,32000,19956,62.3625
fashionmnist_depth_05_width_02000,FashionMNIST,5,2000,10000,5527,55.27
fashionmnist_depth_05_width_04000,FashionMNIST,5,4000,20000,10633,53.165
fashionmnist_depth_05_width_06000,FashionMNIST,5,6000,30000,18207,60.69
fashionmnist_depth_05_width_08000,FashionMNIST,5,8000,40000,23970,59.925
fashionmnist_depth_06_width_02000,FashionMNIST,6,2000,12000,5609,46.74166666666667
fashionmnist_depth_06_width_04000,FashionMNIST,6,4000,24000,13347,55.6125
fashionmnist_depth_06_width_06000,FashionMNIST,6,6000,36000,17811,49.475
fashionmnist_depth_06_width_08000,FashionMNIST,6,8000,48000,25915,53.989583333333336
mnist_depth_01_width_02000,MNIST,1,2000,2000,1381,69.05
mnist_depth_01_width_04000,MNIST,1,4000,4000,2617,65.425
mnist_depth_01_width_06000,MNIST,1,6000,6000,3912,65.2
mnist_depth_01_width_08000,MNIST,1,8000,8000,5494,68.675
mnist_depth_02_width_02000,MNIST,2,2000,4000,2514,62.85
mnist_depth_02_width_04000,MNIST,2,4000,8000,4926,61.575
mnist_depth_02_width_06000,MNIST,2,6000,12000,7760,64.66666666666667
mnist_depth_02_width_08000,MNIST,2,8000,16000,9972,62.325
mnist_depth_03_width_02000,MNIST,3,2000,6000,3564,59.4
mnist_depth_03_width_04000,MNIST,3,4000,12000,6822,56.85
mnist_depth_03_width_06000,MNIST,3,6000,18000,11264,62.577777777777776
mnist_depth_03_width_08000,MNIST,3,8000,24000,15512,64.63333333333334
mnist_depth_04_width_02000,MNIST,4,2000,8000,4857,60.7125
mnist_depth_04_width_04000,MNIST,4,4000,16000,9633,60.20625
mnist_depth_04_width_06000,MNIST,4,6000,24000,14505,60.4375
mnist_depth_04_width_08000,MNIST,4,8000,32000,19786,61.83125
mnist_depth_05_width_02000,MNIST,5,2000,10000,5570,55.7
mnist_depth_05_width_04000,MNIST,5,4000,20000,11155,55.775
mnist_depth_05_width_06000,MNIST,5,6000,30000,17197,57.32333333333333
mnist_depth_05_width_08000,MNIST,5,8000,40000,22446,56.115
mnist_depth_06_width_02000,MNIST,6,2000,12000,6514,54.28333333333333
mnist_depth_06_width_04000,MNIST,6,4000,24000,13360,55.666666666666664
mnist_depth_06_width_06000,MNIST,6,6000,36000,19926,55.35
mnist_depth_06_width_08000,MNIST,6,8000,48000,25612,53.358333333333334
uci_phishing_websites_depth_01_width_02000,UCI Phishing Websites,1,2000,2000,1262,63.1
uci_phishing_websites_depth_01_width_04000,UCI Phishing Websites,1,4000,4000,2547,63.675
uci_phishing_websites_depth_01_width_06000,UCI Phishing Websites,1,6000,6000,3733,62.21666666666667
uci_phishing_websites_depth_01_width_08000,UCI Phishing Websites,1,8000,8000,5227,65.3375
